Name,Expression,Time
Speaker,Sad,[920.0]
Speaker,Sad,[960.0]
Speaker,Sad,[960.0]
Speaker,Sad,[1000.0]
Speaker,Sad,[1040.0]
Speaker,Sad,[1080.0]
Speaker,Sad,[1120.0]
Speaker,Sad,[1120.0]
Speaker,Sad,[1160.0]
Speaker,Sad,[1200.0]
Speaker,Sad,[1240.0]
Speaker,Sad,[1280.0]
Speaker,Sad,[1320.0]
Speaker,Sad,[1360.0]
Speaker,Sad,[1400.0000000000002]
Speaker,Neutral,[1440.0]
Speaker,Neutral,[1480.0]
Speaker,Neutral,[1520.0]
Speaker,Sad,[1560.0]
Speaker,Neutral,[1600.0]
Speaker,Sad,[1640.0000000000002]
Speaker,Neutral,[1680.0]
Speaker,Neutral,[1720.0]
Speaker,Neutral,[1760.0]
Speaker,Neutral,[1800.0]
Speaker,Neutral,[1840.0]
Speaker,Neutral,[1880.0000000000002]
Speaker,Neutral,[1920.0]
Speaker,Neutral,[1960.0]
Speaker,Neutral,[2000.0]
Speaker,Neutral,[2040.0]
Speaker,Sad,[2080.0]
Speaker,Sad,[2120.0]
Speaker,Sad,[2160.0]
Speaker,Sad,[2200.0]
Speaker,Sad,[2240.0]
Speaker,Sad,[2280.0000000000005]
Speaker,Sad,[2320.0]
Speaker,Sad,[2360.0]
Speaker,Neutral,[2400.0]
Speaker,Sad,[2400.0]
Speaker,Sad,[2440.0]
Speaker,Neutral,[2480.0]
Speaker,Sad,[2480.0]
Speaker,Sad,[2520.0]
Speaker,Sad,[2560.0]
Speaker,Sad,[2560.0]
Speaker,Neutral,[2600.0]
Speaker,Sad,[2640.0]
Speaker,Sad,[2680.0]
Speaker,Neutral,[2720.0]
Speaker,Neutral,[2760.0000000000005]
Speaker,Neutral,[2800.0000000000005]
Speaker,Sad,[2800.0000000000005]
Speaker,Sad,[2840.0]
Speaker,Sad,[2840.0]
Speaker,Sad,[6000.0]
Speaker,Sad,[6120.0]
Speaker,Sad,[6160.0]
Speaker,Sad,[6200.0]
Speaker,Sad,[6240.0]
Speaker,Sad,[6280.0]
Speaker,Sad,[6320.0]
Speaker,Sad,[6360.0]
Speaker,Sad,[6400.0]
Speaker,Sad,[6440.0]
Speaker,Sad,[6480.0]
Speaker,Sad,[6520.000000000001]
Speaker,Sad,[6560.000000000001]
Speaker,Sad,[6640.000000000001]
Speaker,Sad,[6680.0]
Speaker,Sad,[6720.0]
Speaker,Sad,[6760.0]
Speaker,Sad,[6800.0]
Speaker,Sad,[6840.0]
Speaker,Sad,[6880.0]
Speaker,Sad,[6920.0]
Speaker,Sad,[7000.0]
Speaker,Sad,[7040.0]
Speaker,Sad,[7080.0]
Speaker,Sad,[7160.0]
Speaker,Sad,[7200.0]
Speaker,Sad,[7200.0]
Speaker,Sad,[7280.0]
Speaker,Sad,[7360.0]
Speaker,Sad,[7440.0]
Speaker,Sad,[7480.0]
Speaker,Sad,[7520.000000000001]
Speaker,Sad,[7560.000000000001]
Speaker,Neutral,[7600.000000000001]
Speaker,Neutral,[7640.000000000001]
Speaker,Sad,[7680.0]
Speaker,Sad,[7720.0]
Speaker,Sad,[7760.0]
Speaker,Sad,[7800.0]
Speaker,Sad,[7840.0]
Speaker,Sad,[7880.0]
Speaker,Sad,[7920.0]
Speaker,Sad,[7960.0]
Speaker,Sad,[8000.0]
Speaker,Sad,[8040.000000000001]
Speaker,Sad,[8080.0]
Speaker,Sad,[8120.000000000001]
Speaker,Surprise,[8160.0]
Speaker,Sad,[8200.0]
Speaker,Sad,[8240.0]
Speaker,Sad,[8280.0]
Speaker,Sad,[8320.0]
Speaker,Sad,[8360.0]
Speaker,Sad,[8400.0]
Speaker,Neutral,[8440.0]
Speaker,Sad,[8480.0]
Speaker,Fear,[8520.0]
Speaker,Sad,[8560.0]
Speaker,Sad,[8600.0]
Speaker,Sad,[8640.0]
Speaker,Fear,[8680.0]
Speaker,Sad,[8680.0]
Speaker,Sad,[8720.0]
Speaker,Sad,[8760.0]
Speaker,Sad,[8800.0]
Speaker,Sad,[8840.0]
Speaker,Fear,[8880.0]
Speaker,Sad,[8920.0]
Speaker,Sad,[8960.0]
Speaker,Sad,[9000.0]
